texts,words,score
很多在49中事件、铁链女事件中能够保持冷静的朋友，在冰淇淋事件中热血上头。其实说穿了，谁也不是圣人，脑袋永远都是由屁股指挥的，无人能够例外。冰淇淋事件符合所有网络热点的特征：开局一张图，过程全靠旁白。两张对比鲜明的图片，加上一段煽情的文字，这就是大多数人掌握的所有信息，但这并不妨碍他们激动，让他们夜不能妹。谁解释就是洗地，肯定是收钱了！永远都是热泪盈眶。,"['很多', '49', '中', '事件', '铁链', '女', '事件', '中', '能够', '保持', '冷静', '朋友', '冰淇淋', '事件', '中', '热血', '上头', '其实', '说穿', '也', '圣人', '脑袋', '永远都是', '屁股', '指挥', '无人', '能够', '例外', '冰淇淋', '事件', '符合', '网络', '热点', '特征', '开局', '一张', '图', '过程', '全靠', '旁白', '两张', '鲜明', '图片', '加上', '一段', '煽情', '文字', '大多数', '掌握', '信息', '妨碍', '激动', '夜', '不能', '妹', '解释', '洗', '肯定', '收钱', '永远都是', '热泪盈眶']",7.0
每次出啥事都是靠群众举报或者群众反应...难道上面真的一点都不知道吗？？？然后每次都自查，结果通告都改了几次...（参考铁链女事件 ……江西周公子事件，北极鲶鱼事件……）到底还有干净的吗？？？？？ ,"['每次', '出', '啥事', '群众', '举报', '群众', '反应', '...', '难道', '上面', '真的', '一点', '知道', '每次', '自查', '通告', '改', '几次', '...', '参考', '铁链', '女', '事件', ' ', '江西', '周公子', '事件', '北极', '鲶鱼', '事件', '到底', '干净', ' ']",2.5
宝马的冰淇淋事件 一点看法首先，自从徐州铁链女事件被封口后，我个人已经对所谓的认同感没有感觉了。崛起不崛起什么的，管我女人什么事。崛起了，女人就安全了吗？崛起了，就公平了吗？是受教育权公平了还是工作权公平了还是继承权公平了？都没看见。So，还是人太多了，不够男人分的，更别提女人了。女人是目前社会的次要层级。所以作为女人的我，支持了，不支持了，认同了，不认同了，对整个社会推动改进有影响吗？并没有。我不反对，也不支持。热血是别人的，我没有了。你看宝马冰淇淋事件下面，对发放冰淇淋的女工作人员的点评，从态度到容貌，再到婚配市场跌价的联想，换个性别，你猜会有类似的吗？不站宝马，站性别。这事，女工作人员，不能背锅。我才不信女工作人员是处于自我意愿把冰淇淋发给外国人不发给中国人的。纯粹就是从消费层级的角度来评价这个事。当年做数码相机的时候，正好是这个产品飞速发展的几年。市场部门调查发现，从中国消费者处过来的投诉，大多数是合理投诉，但有相当一部分，有吹毛求疵的嫌疑。这类的吹毛求疵投诉，在全球范围内，也算是量级比较大的了。当年接手了几个这样的投诉，非常不理解。内控中0.03平方毫米以内的瑕疵，被判断为OK，但本国消费者，会以亮点为名，直接投诉产品。直到某天逛商场，看到工厂生产的照相机的价格，才突然有所理解。无他，贵。一个数码相机的价格，大致等于当年我一个月的工资。将心比心，我花了一个月时间工作的劳动成果，对待它的要求，肯定比相同价格下，收入是我们N倍的国外客户的要求要高。用价格和价值的关系来比喻凝结在单位时间内的劳动成果，我花了一个月，别人可能是2，3天，得到同样的产品。珍贵程度不一样，要求肯定也是不一样。换句话说，就是自己劳动付出的成果，与实际取得的产品之间的比较，即：性价比。这个价格指的是劳动时间。同样的性能，不同等的劳动时间，获得的产品+品牌溢价是否能够满足客户对应的需求，两者之间的差异。那么也一样。宝马这次，最大的问题是它本身的品牌溢价，与其实际价值，出现了较大偏差。之前可能消费者没得选，中国市场上的汽车品牌，就那么几个，宝马相对名气较大，但现在国产车，特别是新能源汽车蓬勃发展，消费者的选择余地大了，对比宝马的性价比，发现中国车更能满足性价比的需求。这才是此次舆论发酵的底层逻辑，其次，才是所谓的民族情感。就如某些自媒体博主所说的，宝马mini的客户群体，是所谓的城市小资中产女性居多。而爆出视频，且炒作的人群是哪些？大家一看就知道，并非该品牌的目标群体。但是城市小资女性是些什么人群呢？当然是看不上屌丝底层你杯13，妈饺8毛的那群人啦。你看看这群炒作的人们，有几个是以小资中产女性为目标人群的人？是垂涎这帮人的男人吧？借民族大义的口，做打压小资中产女人的活，这才是这次突然大火的原因吧？所以，不参与，就看看，不管我事，就是我的态度。PS：宝马挺好看的。外观工业设计方面，就是比某些国产车漂亮。怎么啦？,"['宝马', '冰淇淋', '事件', ' ', '一点', '看法', '徐州', '铁链', '女', '事件', '封口', '个人', '已经', '所谓', '认同感', '没有', '感觉', '崛起', '崛起', '什么', '女人', '什么', '事', '崛起', '女人', '安全', '崛起', '公平', '受', '教育权', '公平', '工作', '权', '公平', '继承权', '公平', '没', '看见', 'So', '人太多', '不够', '男人', '分', '更', '别提', '女人', '女人', '目前', '社会', '次要', '层级', '女人', '支持', '支持', '认同', '认同', '整个', '社会', '推动', '改进', '影响', '没有', '反对', '也', '支持', '热血', '没有', '宝马', '冰淇淋', '事件', '下面', '发放', '冰淇淋', '女', '工作人员', '点评', '态度', '容貌', '再', '婚配', '市场', '跌价', '联想', '换个', '性别', '猜会', '类似', '不站', '宝马', '站', '性别', '事', '女', '工作人员', '不能', '背锅', '不信', '女', '工作人员', '处于', '自我', '意愿', '冰淇淋', '发给', '外国人', '发给', '中国', '纯粹', '是从', '消费', '层级', '角度', '评价', '事', '当年', '做', '数码相机', '正好', '产品', '飞速发展', '几年', '市场', '部门', '调查', '发现', '中国', '消费者', '处', '过来', '投诉', '大多数', '合理', '投诉', '相当', '一部分', '吹毛求疵', '嫌疑', '这类', '吹毛求疵', '投诉', '全球', '范围', '也', '算是', '量级', '比较', '当年', '接手', '几个', '投诉', '非常', '理解', '内控', '中', '0.03', '平方毫米', '以内', '瑕疵', '判断', 'OK', '本国', '消费者', '会以', '亮点', '为名', '直接', '投诉', '产品', '天', '逛商场', '看到', '工厂', '生产', '照相机', '价格', '突然', '有所', '理解', '贵', '一个', '数码相机', '价格', '大致', '等于', '当年', '一个月', '工资', '将心比心', '我花', '一个月', '时间', '工作', '劳动成果', '要求', '肯定', '相同', '价格', '收入', 'N', '倍', '国外', '客户', '要求', '高', '价格', '价值', '关系', '比喻', '凝结', '单位', '时间', '劳动成果', '我花', '一个月', '可能', '2', '3', '天', '得到', '同样', '产品', '珍贵', '程度', '要求', '肯定', '也', '劳动', '付出', '成果', '实际', '取得', '产品', '之间', '比较', '性价比', '价格', '指', '劳动', '时间', '同样', '性能', '不同', '劳动', '时间', '获得', '产品', '+', '品牌', '溢价', '是否', '能够', '满足', '客户', '对应', '需求', '两者之间', '差异', '也', '宝马', '最大', '问题', '品牌', '溢价', '实际', '价值', '出现', '较大', '偏差', '之前', '可能', '消费者', '没得选', '中国', '市场', '汽车品牌', '几个', '宝马', '相对', '名气', '较大', '现在', '国产车', '特别', '新能源', '汽车', '蓬勃发展', '消费者', '选择', '余地', '宝马', '性价比', '发现', '中国', '车', '更', '满足', '性价比', '需求', '这才', '舆论', '发酵', '底层', '逻辑', '所谓', '民族', '情感', '媒体', '博主', '所说', '宝马', 'mini', '客户', '群体', '所谓', '城市', '小资', '中产', '女性', '居多', '爆出', '视频', '炒作', '人群', '一看', '知道', '品牌', '目标群体', '城市', '小资', '女性', '什么', '人群', '看不上', '屌丝', '底层', '杯', '13', '妈饺', '8', '毛', '那群人', '看看', '这群', '炒作', '几个', '小资', '中产', '女性', '目标', '人群', '垂涎', '这帮', '男人', '民族大义', '口', '做', '打压', '小资', '中产', '女人', '活', '这才', '突然', '大火', '原因', '参与', '看看', '我事', '态度', 'PS', '宝马', '挺', '好看', '外观', '工业', '设计', '方面', '国产车', '漂亮', '怎么']",70.0
为什么不放铁链女。不都是文化输出吗 ,"['为什么', '放', '铁链', '女', '文化', '输出', ' ']",0
很久未进这个微博账号了，一是工作太忙，二是现实很残酷心堵，旧伤痕上又填新伤痕，苦难深重的百姓，层层叠叠的压迫，不堪重负……铁链女事件上又加胡鑫宇，活体器官移植合法化丧尽天良…… ,"['很久', '未进', '微博', '账号', '一是', '工作', '太忙', '二是', '现实', '残酷', '心堵', '旧', '伤痕', '填新', '伤痕', '苦难深重', '百姓', '层层叠叠', '压迫', '不堪重负', '铁链', '女', '事件', '加', '胡鑫宇', '活体', '器官移植', '合法化', '丧尽天良', ' ']",-9.0
今天，朋友圈有人在为董哭惨，似乎是听到了什么男up鼓动，说什么要悲悯，说要求董死刑的是极端，是没有悲悯之心。呵呵呵，男人，说着铁链女，悲悯的是罪犯男人，认为女人极端。王宝强跟马蓉的时候，你们怎么不悲悯马蓉呢？怎么不说得饶人处且饶人呢？谁说男人共情能力弱的？他看见个男罪犯就共情，看见个绿帽男就共情，看见公猫绝育，他都共情。还有男up们，不管说什么，总要夹带私货的，没办法，男人嘛，肚子里的真水平也就那些了，眼界也就那些了。,"['今天', '朋友圈', '有人', '董哭', '惨', '似乎', '听到', '什么', '男', '鼓动', '说', '什么', '悲悯', '说', '要求', '董', '死刑', '极端', '没有', '悲悯', '之心', '男人', '说', '铁链', '女', '悲悯', '罪犯', '男人', '认为', '女人', '极端', '王宝强', '马蓉', '怎么', '悲悯', '马蓉', '怎么', '不说', '得饶人处且饶人', '说', '男人', '共情', '能力', '弱', '看见', '男', '罪犯', '就共情', '看见', '绿帽', '男', '共情', '看见', '公猫', '绝育', '共情', '男', '说', '什么', '总', '夹带', '私货', '没', '办法', '男人', '肚子', '里', '真', '水平', '也', '眼界', '也']",-6.5
从小到大都不喜欢熊猫，不知道是因为感觉幻视成一个肥胖的中年男人爬行还是什么原因。之前很恨冰墩墩是因为媒体每天十条冰墩墩却没有任何人在意同时发生的铁链女。现在更讨厌熊猫了，但是感觉对动物没什么意见，只是讨厌把熊猫当人却不把人当人的一些人。 ,"['从小到大', '喜欢', '熊猫', '知道', '是因为', '感觉', '幻视', '成', '一个', '肥胖', '中年男人', '爬行', '什么', '原因', '之前', '很恨', '冰墩', '墩', '是因为', '媒体', '每天', '十条', '冰墩', '墩', '没有', '任何人', '在意', '发生', '铁链', '女', '现在', '更', '讨厌', '熊猫', '感觉', '动物', '没什么', '意见', '讨厌', '熊猫', '当人', '当人', ' ']",-9.0
诶嘿才发现窦骁和何超莲也是金牛女射手男的搭配 看来这个组合适配度还挺高嘛 金牛配射手 铁链拴疯狗 我本人是比较喜欢射手男的  有趣有梗好玩好用 做老公是不戳 ,"['诶', '发现', '窦骁和何', '超莲', '也', '金牛', '女', '射手', '男', '搭配', ' ', '看来', '组合', '适配', '度', '挺', '高', ' ', '金牛', '配', '射手', ' ', '铁链', '拴', '疯狗', ' ', '比较', '喜欢', '射手', '男', ' ', ' ', '有趣', '梗', '好玩', '好用', ' ', '做', '老公', '戳', ' ']",17.5
与徐州铁链女无异 ,"['徐州', '铁链', '女', '无异', ' ']",0
五律一一春节两名女         《徐州铁链封，冬奥谷爱0。淮北橘变枳，地美石成金。       开改人贩滥，色特五毒升。权说为民生，灯节盼光明。》 ,"['五律', '一一', '春节', '两名', '女', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', '徐州', '铁链', '封', '冬奥', '谷爱', '0', '淮北', '橘变', '枳', '地美石', '成金', ' ', ' ', ' ', ' ', ' ', ' ', ' ', '开改', '人贩', '滥', '色特', '五毒', '升', '权说', '民生', '灯节', '盼', '光明', ' ']",0
我天呢怕没人“养儿防老”盼得这么重哇，铁链女都没盼这么重，是不是有病啊 ,"['我天', '怕', '没人', '养儿防老', '盼得', '重哇', '铁链', '女', '没', '盼', '重', '是不是', '有病', ' ']",0
你以为有些人真的在乎铁链女 实际上他们只是把她当作攻击某些人的zz工具 ,"['真的', '在乎', '铁链', '女', ' ', '实际上', '当作', '攻击', 'zz', '工具', ' ']",0.0
我的过分事情是：关注铁链女，关注唐山打人事件，关注家暴，关注取消996每一天都是滔天大罪啊，我的天呐 ,"['过分', '事情', '关注', '铁链', '女', '关注', '唐山', '打人', '事件', '关注', '家暴', '关注', '取消', '996', '一天', '滔天大罪', '天呐', ' ']",0
以奇货可居的态度为存在即合理而辩解 拥有福柯所言“语言的权力” 却上赶着做别人的擦屁股纸 死人不会说话，铁链女的话被当作疯话 文明在虚伪的辩客和看客的助攻下 被反噬 ,"['奇货可居', '态度', '存在', '合理', '辩解', ' ', '拥有', '福柯', '言', '语言', '权力', ' ', '赶着', '做', '擦屁股', '纸', ' ', '死人', '不会', '说话', '铁链', '女', '当作', '疯话', ' ', '文明', '虚伪', '辩客', '看客', '助攻', ' ', '反噬', ' ']",-14.0
小花梅 李莹 铁链女 她还好吗 ,"['小花', '梅', ' ', '李莹', ' ', '铁链', '女', ' ', '还好', ' ']",0
《徐州丰县“八孩铁链女”案宣判，买卖不同罪，是对犯罪的纵容》徐州丰县“八孩铁链女”案宣判，买卖不同罪，是对犯罪的纵容 ,"['徐州', '丰县', '八孩', '铁链', '女', '案', '宣判', '买卖', '不同', '罪', '犯罪', '纵容', '徐州', '丰县', '八孩', '铁链', '女', '案', '宣判', '买卖', '不同', '罪', '犯罪', '纵容', ' ']",-16.0
因为《未定事件簿》和同学聊到关于 正义 罪恶 公平 一系列的话题有提到说，当发现事情不是非黑即白，不分对和错，你在成长，当你可以转变视角想问题当时候，你在成长。也聊了一会还说了之前关于 铁链女 某个老师当看法 没有绝对当对和错  换个角度怎么就不会事正确的呢其实，我也知道变换视角看问题，会得到不同当答案。但是问题在于，一切不管大部分人认识中的 对和错的事情，都可以用不同当角度 合理地解释 他是对的。但是我总觉得这没有意义啊。我们讨论问题 不仅仅想要知道正反双方角度谁是错谁是对具体问题具体分析，情况不一样，总会有相对正确 合理 的答案啊想要进步 就需要直视一些问题,"['未定', '事件簿', '同学', '聊到', ' ', '正义', ' ', '罪恶', ' ', '公平', ' ', '一系列', '话题', '提到', '说', '发现', '事情', '非黑', '白', '不分', '错', '成长', '转变', '视角', '想', '问题', '成长', '也', '聊', '一会', '说', '之前', ' ', '铁链', '女', ' ', '老师', '看法', ' ', '没有', '绝对', '当对', '错', ' ', ' ', '换个', '角度', '怎么', '不会', '事', '正确', '其实', '也', '知道', '变换', '视角', '问题', '会', '得到', '不同', '答案', '问题', '大部分', '认识', '中', ' ', '错', '事情', '不同', '角度', ' ', '合理', '解释', ' ', '总', '觉得', '没有', '意义', '讨论', '问题', ' ', '不仅仅', '想要', '知道', '正反', '双方', '角度', '错', '具体', '问题', '具体分析', '情况', '总会', '相对', '正确', ' ', '合理', ' ', '答案', '想要', '进步', ' ', '需要', '直视', '问题']",1.5
丰县铁链女是精神分裂症……所以她的8个孩子都会得精神病！？？？ ,"['丰县', '铁链', '女是', '精神分裂症', '8', '孩子', '会', '精神病', ' ']",-3.0
无语死了 dy wb xhs在骂三  tb都在骂大婆娇妻 db算是五五开有骂大婆的有骂三的 都这么互相攻击了还扯什么三观扯什么爱女啊 所以我也很瞧不起那些成天那铁链女诅咒别人的 别人的痛苦就是你辱骂的工具 ,"['无语', '死', ' ', 'dy', ' ', 'wb', ' ', 'xhs', '骂', '三', ' ', ' ', 'tb', '骂', '大婆', '娇妻', ' ', 'db', '算是', '五五开', '骂', '大婆', '骂', '三', ' ', '互相攻击', '扯', '什么', '三观', '扯', '什么', '爱女', ' ', '也', '瞧不起', '成天', '铁链', '女', '诅咒', ' ', '痛苦', '辱骂', '工具', ' ']",-2.0
比铁链女还悲惨的故事🙏 ,"['铁链', '女', '悲惨', '故事', '🙏', ' ']",0.0
去年我就告诉大家一件事，很多人就是羊屎蛋表面光。有些人有很深的群众基础，没必要去踩屎。王志安是我一直看不惯的人，去年就说他了。还有些和他是一路货色，也不一一点名。最近谁挺王志安谁就是一丘之貉。他是真坏，不坏不能在铁链女上替董志民说话。 ,"['去年', '告诉', '一件', '事', '很多', '羊屎', '蛋', '表面光', '人有', '深', '群众', '基础', '没', '必要', '踩', '屎', '王志安是', '一直', '看不惯', '去年', '说', '一路货色', '也', '一点', '名', '最近', '挺', '王志安', '一丘之貉', '真坏', '坏', '不能', '铁链', '女上', '董', '志民', '说话', ' ']",-5.25
最近淄博烧烤很火 会看到很多唐山/徐州/西安的网友号召大家去玩 但是大家就会提到唐山烧烤/徐州铁链女/西安地铁这些臭名昭著的恶性事件，心存顾虑 所以恶性事件处理不好是很影响城市风评的 ,"['最近', '淄博', '烧烤', '很火', ' ', '会', '看到', '很多', '唐山', '/', '徐州', '/', '西安', '网友', '号召', '玩', ' ', '会', '提到', '唐山', '烧烤', '/', '徐州', '铁链', '女', '/', '西安', '地铁', '臭名昭著', '恶性事件', '心存', '顾虑', ' ', '恶性事件', '处理', '不好', '影响', '城市', '风评', ' ']",-10.0
江苏省：号称鱼米之乡，其实也是非常愚昧野蛮，铁链⛓️女事件就发生在江苏省吧 ,"['江苏省', '号称', '鱼米之乡', '其实', '也', '非常', '愚昧', '野蛮', '铁链', '⛓', '️', '女', '事件', '发生', '江苏省', ' ']",-21.0
夜深了 铁链女在干嘛呢 她现在有名字了吗 ,"['夜深', ' ', '铁链', '女', '干嘛', ' ', '现在', '名字', ' ']",0
《戏精穿进苦情戏》 好震撼的一本小说 差点因为名字和快穿题材错过 虽然探讨的现象很沉重 但是内容写的很轻松 八个世界包含了小脚 后妈 铁链女 恋童癖 聋哑人 校园霸凌和家国 各种题材 大结局被晋江锁让整个作品都升华了 希望我能成为水银那样的人 找到一个真正的不被定义或拘束自我 ,"['戏精', '穿', '进', '苦情', '戏', ' ', '震撼', '一本', '小说', ' ', '差点', '名字', '快', '穿', '题材', '错过', ' ', '探讨', '现象', '沉重', ' ', '内容', '写', '轻松', ' ', '八个', '世界', '包含', '小脚', ' ', '后妈', ' ', '铁链', '女', ' ', '恋童', '癖', ' ', '聋哑人', ' ', '校园', '霸凌和家国', ' ', '题材', ' ', '大结局', '晋江', '锁', '整个', '作品', '升华', ' ', '希望', '我能', '成为', '水银', ' ', '找到', '一个', '真正', '定义', '拘束', '自我', ' ']",6.0
"1,大学生掏鸟窝被判10年 2,人贩子贩了100个孩子，判5年 3,铁链女被非法拘禁强奸生出8孩，判9年  结论：#人不如鸟 ","['1', ',', '大学生', '掏', '鸟窝', '被判', '10', '年', ' ', '2', ',', '人贩子', '贩', '100', '孩子', '判', '5', '年', ' ', '3', ',', '铁链', '女', '非法拘禁', '强奸', '生出', '8', '孩', '判', '9', '年', ' ', ' ', '结论', '#', '鸟', ' ']",-16.0
在某些方面我是一个很保守的人。比如唐山打人事件，徐州铁链女事件，冰箱藏尸案件，我觉得这些东西你要认真讨论或者有不同见解，我都可以接受。我唯独不能接受别人拿这些事情去娱乐化、去开玩笑，哪怕有人说了，你跟着去笑，实际上不亚于你认同了他的玩笑。就像在灵堂上面你就不该笑，无论死者是不是跟你有仇，至少也该给在场的家属或者朋友一些尊重吧？那些默哀啊、灾难啊，这些属于大部分人的痛苦记忆本来就不该拿来（尤其是发生在周围和牵扯到身边人的）开玩笑。这种可能是一种倔强吧。,"['方面', '一个', '保守', '唐山', '打人', '事件', '徐州', '铁链', '女', '事件', '冰箱', '藏尸', '案件', '觉得', '东西', '认真', '讨论', '不同', '见解', '接受', '唯独', '不能', '接受', '事情', '娱乐', '化', '开玩笑', '有人', '说', '跟着', '笑', '实际上', '不亚于', '认同', '玩笑', '灵堂', '上面', '不该', '笑', '死者', '是不是', '仇', '至少', '也', '在场', '家属', '朋友', '尊重', '默哀', '灾难', '属于', '大部分', '痛苦', '记忆', '本来', '不该', '拿来', '尤其', '发生', '周围', '牵扯', '身边', '开玩笑', '这种', '可能', '一种', '倔强']",-3.0
“铁链女”事件的另一个角度的思考: 农村底层男性精神病人，因为没有剩余价值，最后下场是什么呢？ ,"['铁链', '女', '事件', '一个', '角度', '思考', ':', ' ', '农村', '底层', '男性', '精神病人', '没有', '剩余价值', '最后', '下场', '什么', ' ']",-5.0
