texts,pm,pp,np
今天，朋友圈有人在为董哭惨，似乎是听到了什么男up鼓动，说什么要悲悯，说要求董死刑的是极端，是没有悲悯之心。呵呵呵，男人，说着铁链女，悲悯的是罪犯男人，认为女人极端。王宝强跟马蓉的时候，你们怎么不悲悯马蓉呢？怎么不说得饶人处且饶人呢？谁说男人共情能力弱的？他看见个男罪犯就共情，看见个绿帽男就共情，看见公猫绝育，他都共情。还有男up们，不管说什么，总要夹带私货的，没办法，男人嘛，肚子里的真水平也就那些了，眼界也就那些了。,负向,0.0003,0.9997
从小到大都不喜欢熊猫，不知道是因为感觉幻视成一个肥胖的中年男人爬行还是什么原因。之前很恨冰墩墩是因为媒体每天十条冰墩墩却没有任何人在意同时发生的铁链女。现在更讨厌熊猫了，但是感觉对动物没什么意见，只是讨厌把熊猫当人却不把人当人的一些人。 ,负向,0.0419,0.9581
诶嘿才发现窦骁和何超莲也是金牛女射手男的搭配 看来这个组合适配度还挺高嘛 金牛配射手 铁链拴疯狗 我本人是比较喜欢射手男的  有趣有梗好玩好用 做老公是不戳 ,正向,0.8687,0.1313
与徐州铁链女无异 ,中性,0.5461,0.4539
五律一一春节两名女         《徐州铁链封，冬奥谷爱0。淮北橘变枳，地美石成金。       开改人贩滥，色特五毒升。权说为民生，灯节盼光明。》 ,中性,0.4562,0.5438
我天呢怕没人“养儿防老”盼得这么重哇，铁链女都没盼这么重，是不是有病啊 ,负向,0.0012,0.9988
你以为有些人真的在乎铁链女 实际上他们只是把她当作攻击某些人的zz工具 ,负向,0.0019,0.9981
我的过分事情是：关注铁链女，关注唐山打人事件，关注家暴，关注取消996每一天都是滔天大罪啊，我的天呐 ,负向,0.3527,0.6473
以奇货可居的态度为存在即合理而辩解 拥有福柯所言“语言的权力” 却上赶着做别人的擦屁股纸 死人不会说话，铁链女的话被当作疯话 文明在虚伪的辩客和看客的助攻下 被反噬 ,负向,0.0101,0.9899
小花梅 李莹 铁链女 她还好吗 ,负向,0.3712,0.6288
《徐州丰县“八孩铁链女”案宣判，买卖不同罪，是对犯罪的纵容》徐州丰县“八孩铁链女”案宣判，买卖不同罪，是对犯罪的纵容 ,负向,0.0013,0.9987
因为《未定事件簿》和同学聊到关于 正义 罪恶 公平 一系列的话题有提到说，当发现事情不是非黑即白，不分对和错，你在成长，当你可以转变视角想问题当时候，你在成长。也聊了一会还说了之前关于 铁链女 某个老师当看法 没有绝对当对和错  换个角度怎么就不会事正确的呢其实，我也知道变换视角看问题，会得到不同当答案。但是问题在于，一切不管大部分人认识中的 对和错的事情，都可以用不同当角度 合理地解释 他是对的。但是我总觉得这没有意义啊。我们讨论问题 不仅仅想要知道正反双方角度谁是错谁是对具体问题具体分析，情况不一样，总会有相对正确 合理 的答案啊想要进步 就需要直视一些问题,正向,0.815,0.185
丰县铁链女是精神分裂症……所以她的8个孩子都会得精神病！？？？ ,负向,0.0036,0.9964
无语死了 dy wb xhs在骂三  tb都在骂大婆娇妻 db算是五五开有骂大婆的有骂三的 都这么互相攻击了还扯什么三观扯什么爱女啊 所以我也很瞧不起那些成天那铁链女诅咒别人的 别人的痛苦就是你辱骂的工具 ,负向,0.0,1.0
比铁链女还悲惨的故事🙏 ,负向,0.1096,0.8904
去年我就告诉大家一件事，很多人就是羊屎蛋表面光。有些人有很深的群众基础，没必要去踩屎。王志安是我一直看不惯的人，去年就说他了。还有些和他是一路货色，也不一一点名。最近谁挺王志安谁就是一丘之貉。他是真坏，不坏不能在铁链女上替董志民说话。 ,负向,0.0061,0.9939
最近淄博烧烤很火 会看到很多唐山/徐州/西安的网友号召大家去玩 但是大家就会提到唐山烧烤/徐州铁链女/西安地铁这些臭名昭著的恶性事件，心存顾虑 所以恶性事件处理不好是很影响城市风评的 ,负向,0.0162,0.9838
江苏省：号称鱼米之乡，其实也是非常愚昧野蛮，铁链⛓️女事件就发生在江苏省吧 ,负向,0.0004,0.9996
夜深了 铁链女在干嘛呢 她现在有名字了吗 ,负向,0.0423,0.9577
《戏精穿进苦情戏》 好震撼的一本小说 差点因为名字和快穿题材错过 虽然探讨的现象很沉重 但是内容写的很轻松 八个世界包含了小脚 后妈 铁链女 恋童癖 聋哑人 校园霸凌和家国 各种题材 大结局被晋江锁让整个作品都升华了 希望我能成为水银那样的人 找到一个真正的不被定义或拘束自我 ,正向,0.9994,0.0006
"1,大学生掏鸟窝被判10年 2,人贩子贩了100个孩子，判5年 3,铁链女被非法拘禁强奸生出8孩，判9年  结论：#人不如鸟 ",负向,0.0013,0.9987
在某些方面我是一个很保守的人。比如唐山打人事件，徐州铁链女事件，冰箱藏尸案件，我觉得这些东西你要认真讨论或者有不同见解，我都可以接受。我唯独不能接受别人拿这些事情去娱乐化、去开玩笑，哪怕有人说了，你跟着去笑，实际上不亚于你认同了他的玩笑。就像在灵堂上面你就不该笑，无论死者是不是跟你有仇，至少也该给在场的家属或者朋友一些尊重吧？那些默哀啊、灾难啊，这些属于大部分人的痛苦记忆本来就不该拿来（尤其是发生在周围和牵扯到身边人的）开玩笑。这种可能是一种倔强吧。,负向,0.0102,0.9898
“铁链女”事件的另一个角度的思考: 农村底层男性精神病人，因为没有剩余价值，最后下场是什么呢？ ,负向,0.0018,0.9982
【七孩母】【铁链女】【小花梅】董志民在镜头里也相当坦然，甚至还有点自豪。图片现在看来，这似乎有点匪夷所思，但其实这就是一种“价值观茧房”嘛。董志民真的没有认为这里有什么不对的，他脑子里的观众，应该都是贾平凹老师这样的人。贾平凹老师看到这段视频，多半也只会觉得“这男人真不容易”，不会有什么追究责任的想法。说到这儿，我顺便说句题外话，就是关于前一段马原老师的事件。有人说马原老师可能是中了采访记者的圈套，说了私下里才会说的话。其实我觉得可能没这么复杂，马原老师也是活在自己的“价值观茧房”里，他肯定觉得自己的话很正常，后来公众的反应是他没有预料到的。就像他会给自己的的节目取名叫“九叔训妻”，在里面指着妻子鼻子教训，没有觉得丝毫不妥。在他心目中，观众应该觉得这样做很有趣才对。还是说回到贾平凹老师，如果是贾平凹老师看了小花梅的视频，他可能也会含糊地评论为“悲剧”，大家应该保有“同情之理解”，但这份同情肯定是更多地给予董志民，而不是小花梅。就像贾老师说的那句著名的话：“如果这个村子永远不买媳妇，这个村子就消亡了呀！”但是村子怎么会不消亡呢？某些人有了钱、有了名就不肯在村里呆着，就要搬到西安去住；女儿也忙着写诗出书，不肯去圪梁村找淳朴善良的黑亮，村子怎么会不消亡？所以说，世界上有一种同情，叫拿别人请客。,负向,0.1055,0.8945
我很喜欢看王局的节目，但他对于铁链女的这期我实在无非认同，虽然能懂他所说的他是基于贫困地区的真实情况来做出的判断，站在贫困底层的穷苦人的立场来说。体现了一种「存在即合理」。这一点我非常非常非常不认同。因为贫困地区的男人娶不起媳妇，就认为花钱买一个媳妇来传宗接代这件事是合理的。这本身就很荒谬。贫穷，娶不起媳妇，就可以把女性当做物品来买卖？即使被卖之后的生活比被卖之前好过一点点。这难道不是生而为人的悲哀？！这样贫困的环境，还要一代代的传承，意义在哪？娶不到媳妇就娶不到，适者生存不可以吗？为什么要通过买卖这种剥夺他人人权的手段？我确实无法理解，一部分人对传宗接代，生殖崇拜的执念。难道人来这世间一场就是为了把自己的基因传下去？那和动物有什么区别？人之所以为人，不就是不断与基因本能对抗的结果吗？我们没有资格剥夺别人生育的权利，但为了自己生育的权利去剥夺别人的自由就合理吗？为什么越贫困，越受教育程度低，越生殖崇拜？越觉得一辈子的大事就是娶媳妇生孩子？小时候老师讲过放羊娃的故事：有人问放羊娃你为什么放羊？放羊娃说赚钱。赚钱做什么？娶媳妇。娶媳妇做什么？生孩子。生孩子做什么？放羊。小时候当成一个笑话听。现在一点都笑不出来。王局讲到如果一个精神病女人不被买走生孩子，流浪街头，生活只会更糟，会被强暴，被殴打，最终冻死饿死在街头。既可怕又残忍。既然我们的社会福利达不到保障他们的人权，倒不如对于完全无民事行为能力的精神病人经过医学鉴定之后实行安乐死。与其毫无尊严的活着，还不如有尊严的死去但这又是一个悖论，我们有权利剥夺他们的生命权吗？我们的文明进程，还有很长很长的路要走。虽然我非常非常非常不认同王局这期的观点，但也感谢他让我看到一个真实的贫困山区的生活现状。即使我们头顶上是同一片星空，这个世界上多得是太阳照不到的地方。让我更加讨厌这个世界了呢,负向,0.0005,0.9995
我们因为不人云亦云2021，在前几天就被灰原哀小三粉们买热搜辱骂了，就是因为它的发言！！！我们新兰，兰粉因为不人云亦云2021前几天就被群嘲，公开嘲讽了。因为它，新兰党前几天和这几天被灰原哀粉和路人被嘲讽的很惨，被嘲讽的出圈了。因为群主心疼那个施暴铁链女的施暴者。群主极端厌女。支持那个就是被铁链子拴着，生了八个孩子的，徐州案。这个背刺我们在先，今天它已经公开辱骂新一多次了。我们新兰，兰粉，前几天就被新一柯南粉抱怨，甚至想撇清关系了。新一柯南粉前几天就公开说别骂新一了，搞不懂为什么骂，已经火大了，它还在煽风点火。这个人极端厌女，分裂新兰，可能是柯哀反串,负向,0.0018,0.9982
今天同学跟老师聊到8娃的那个事情，老师说“你们女大学生跟铁链女的差别只是一块砖头”，聊到那个地区都是这样为什么没人管，老师说“法不责众” 我那个汗毛直接立起 ,负向,0.0015,0.9985
想到丰县铁链女最近判案就一口郁气无处发泄 让人暴躁。 ,负向,0.012,0.988
“你要写女人的苦，就不能只写女人。你要写花轿里上吊的那根绳，写三寸的足，写尿骚味的裤子，写饭桌边上的矮板凳，写布满纹路的小腹，写四肢的铁链有多粗。你要写招弟盼弟来弟想弟停女，写谁不想儿女双全是福，写男学生的理科天赋，写仅限招录，写传宗接代继承香火入族谱，写不生孩子怎么算完整奴仆。你要写下岗潮坐在丈夫自行车后座经过的那片湖，他接他送，皮肉熬出一家的嚼口破屋。你要写拿快递穿的那身白裙楚楚，两台手机一张聊天记录，就密密麻麻被写满了荡妇。你要写32块钱的百香果，攥在十岁的小小手心里当成宝物，到家500米的路，再没见过父母。”“你要写十三四岁碰见的男老师，把爱说得天花乱坠令人信服，死死钉在你26岁的脊椎骨。你要写下班后的烧烤店，写繁华的红谷滩，写夜幕下的出租，写女厕所女浴室的蛆，写更衣室门口拉开的布。你要写出不了世的三千万枯骨，写喝下的许多冰冷的河水泥污，写消防员的嘶吼痛呼，写农村的百草枯。”,负向,0.0108,0.9892
你去年怎么高高在上的指责网友追问“铁链女”事件的？怎么骂网友不知好歹的？怎么一副公知面孔为法律站队的？恭喜你，知道什么叫百口莫辩了。 ,负向,0.0002,0.9998
国电夺冠五人组千山万水总是情地要在十大团聚，馍子哥千里迢迢回来参加十大，我们晚霞也去苏州但不去十大而是去猴宫替他老币娘代播四小时，我们币霞也终于有血糖了，人一生中只能有一颗dr，肥狗一生中也只有一个（薄情寡义但也是娘）娘，铁链女晚霞妹，我妹你真的走不出东郊资源的废墟是吗？ ,负向,0.0109,0.9891
“当一个人的衣食住行全都依靠别人 很难说她的意志是自由的 更别提性意志” 李佳评铁链女 ,负向,0.3056,0.6944
皮囊第二季第一集千呼万唤始回归 回归第一集就付费 但播放量很高 可见3A景区的火爆程度 第一集的剧本有较大改编 特别是周老师上电视讲解案情的内容 可以看出在法律方面是认真下了功夫的 去繁就简 还结合时事 融合了铁链女的案情 加上正义凛然的孟警官永远在光明里闪闪发光 这剧的正能量简直爆棚了 封面也很有意思 孟小刀走在灯光下 陆钊开着车跟在黑暗里 这种明暗的对比正应和着两个人不同的心境 要感谢孟小刀把陆钊带到了太阳底下,正向,0.9999,0.0001
新兰粉在这里霸凌按头幸福的样子比幸灾乐祸毛利兰与主线无关没了更好的还可恶。像恶婆婆生怕跑了好媳妇强行挽留。原作也是男主妈拜托女主打扫开启了毛利兰背负几十年的保姆污名，别硬按头了，你们要拿铁链锁住毛利兰吗？ ,负向,0.0003,0.9997
微博上还有一批人就是，只要有一个例子是女的不对的，就说你怎么从来不说男的不好？搞得你好像就成了一个护男卫士。她们就完全忘了你为铁链女呼吁，为女性平权的那些帖子，为家暴所做的谴责，对中国婚姻法对女性保护的缺失的评论。这些人其实就是转移视线，是坏。不多说了，明白的人自然明白。跟这些人讲理也是浪费时间。 ,负向,0.0,1.0
老师你提到铁链女笑什么。。 ,正向,0.6608,0.3392
哦豁，某人云亦云20xx这种能对八孩铁链女发表离谱言论的反女权魔怔人，换了个场子在嗑纯爱我是真没想的转念一想，从魔怔人人设不倒的角度看倒也没错 ,负向,0.0609,0.9391
而我只想编剧把铁链女的材料一定要编到剧里面去@电视剧利剑玫瑰官微 ,负向,0.0045,0.9955
铁链女有结果了，是好事 ,正向,0.68,0.32
一个公知读书博主，拿女权和乱七八糟的主义点缀自己，铁链女闹的最凶的那阶段还天天解读古希腊经典，这两天终于露出商人的马脚被骂了，好开心 ,中性,0.4635,0.5365
"小花梅被解救出来之后会不会变好？现在的救助是短期的？还是长期的？是最终把小花梅送回老家？还是政府给其永久性社会保障？还有她的八个孩子以后扶持兜底人是谁？是公益机构还是爱心人士？以后是否还会保持专人监管？小花梅事件披露了一个重要的社会现实，即便是今天，铁链女事件只是贫苦社会底层人性罪恶浮现的冰山一角，中国精神病患者(包括先天后天智力障碍没有民事行为能力的人)近六百万，事实就是现在农村还有无数个小花梅忍受着常人不能理解的生活状况，甚至不乏有智力正常的小花梅…。男性精神病患者直接被家人关铁笼或直接杀害的不在少数吧，女性精神病状况实际上要稍“好”于男性，女精神病对于即将被抛弃或嫌弃的家人还有一种价值，“性价值”，这里的性价值不是别人定义的，而是本身具有性价值。女精神病一般只有一种结果就是被“嫁人”，找另一个男人所谓的“照顾”,从而原生家庭摆脱依赖。因为对于有精神病人的原生家庭来说精神病患者就是一种巨大生活负担，在原生家庭里大概率会过得比这更惨，能不能活下来都是问题，千万不要不信，实例要远比网上的更荒谬，这就是今天的社会现实。",负向,0.0017,0.9983
突然想到，在最近的杀妻案下 香港那位白富美被前夫全家割头分尸的案子已经无人讨论了。 说到底， 无论是白富美 还是精神失常的小花梅 都会被吃 一个是被做成了人头汤 一个是生产容器  这世道 这世道 这世道 真是一朝回到解放前  铁链女，和香港白富美 果然还不如白毛女 ,负向,0.0201,0.9799
#铁链女#大众不会忘记 ,正向,0.9666,0.0334
我二模语文题有一个让根据自己印象最深的社会事件写一段议论性的话，虽然我第一个想到的是铁链女，但是我写的是老坛酸菜。我倒也没必要为了一道题把自己搭上去是市上统一阅卷。 ,负向,0.0114,0.9886
大家怎么看王局最新一期关于铁链女的视频？看到他谈他觉得判罚判重了觉得相当诧异，看完整个视频后，虽然王局抛出了一个道德上的两难命题，但我依然觉得就案子判罚本身它就应该接受法律应有的判罚，这并不是王局说到的一种“成文法对中国民间习惯法的QJ”，但王局提到的社会在长期不关注、不纠正、不惩戒类似买卖婚姻、拐卖这类事件在农村地区的发生、这种长期社会环境的漠视确实存在，所以铁链女判罚里没有看到对当地有关部门的追责。另外就是所谓“成文法对中国民间习惯法的QJ”不正确，不正确在于长期的普法不平衡，因为有了法律就不应该让所谓中国民间习惯法存在…,负向,0.0005,0.9995
如果铁链女真是小花梅，到底为啥不能让她和云南的亲人见面相认 ,负向,0.0979,0.9021
八孩铁链女宣判了，我因为这事儿被封号两次，这事儿也让我对江苏徐州这个地方有了新的认识，这个地方的人有很大问题，麻木，无动于衷是他们的特色。 ,负向,0.2159,0.7841
如今看p1此类油腻的强制爱文学一秒联想到八孩铁链女 p2是大家都熟悉的疯狂+偏执+命都给你  虽然雷到我停下吃海底捞然而看在收藏多的份上我进去看看是不是挂羊头卖狗肉 ,负向,0.1433,0.8567
我国电视台不帮八孩铁链女、不帮被强制加班单休的打工人，跑去管日本纸片人是不是大婆，恶不恶心？ ,负向,0.0002,0.9998
真的会落泪 从996讲到发光的骨头，这个女孩子不仅代孕而且铁链 ,正向,0.9138,0.0862
女写手投稿一篇厌女鉴定标准，评论区女写手看了说我摆烂了我就是厌女。另有女冲进来说你就是i男解？祝你铁链生十胎。 我：（倒吸一口凉气）很难评，这很难评。 ,负向,0.0001,0.9999
如果女的怀孕了，男的跑了不负责任，一般被骂的是那个女的，谁让你不睁大眼睛呢？可是如果一个男为了爱情把钱花出去，被骂的仍然是那个女孩，男孩大多是被同情的对象。要为男孩撑腰的讨回来的不在少数。包括很多正义为位置上的人士。女性只有到了像丰县铁链女的程度才大概有被同情的资格吧，否则都是以社会蛀虫、傻白甜的方式存在着。我看了一下那个翟欣欣的案例的一些资料，包括男方的遗书里面其实明确的写了，在婚前他就知道翟欣欣是个怎样的人，而且也是知道如果一旦离婚，他会付出怎样的代价，但是他仍然坚持娶翟欣欣。从这一点上，我倒觉得翟欣欣是一个很纯粹的人。只是他没有想到翟欣欣还拿到了他偷税漏税的证据，想要的更多。我不想做过多评价，毕竟逝者已逝。但是压倒他的真的是翟欣欣的逼债？毋庸置疑翟欣欣是一个贪心的女人，一个纯粹的贪心者，还动用了手中的证据确实挺不地道的，我尊重支持一切判决结果。但是我想说的是，什么时候男性不再把自己的失败倒霉归咎于女性，社会在揪着女性的道德说事时也能对应一下男德。相信网络和社会也会更文明和谐一些吧。,负向,0.004,0.996
在未知的角落总有人会为正义发声 ,正向,0.9202,0.0798
铁链女说明社会底层没有社会保障的阶层还远远谈不到发达，说明社会顶层和底层其实过的完全不一样的生活方式 ,负向,0.1767,0.8233
人类为什么需要看小说 ,负向,0.1387,0.8613
午饭大家讨论，铁链女事件得到了审判，我们聊起来过去农村极度穷苦家庭会产生一种乡村社会现象“拉边套”。烦人男老师突然说：“这种现象不可能！肯定是假的！”我们几个面面相觑…不知道如何跟一个只活在自己经历世界里的人解释清楚，其实世界还挺大的，你不知道并不等于不存在…真的无语死了。 ,负向,0.0002,0.9998
《民法典》第二十九条规定“被监护人的父母担任监护人的，可以通过遗嘱指定监护人”。家中有精神疾病子女的父母可以在公证遗嘱中指定监护人，在身后照顾自己的子女。在实践中愿意承担照顾义务的还是少数，从古至今家中有精神疾病患者都会对这家的经济和家庭成员的精神造成打击，尤其是对经济状况本身就不好的农村家庭，遇到精神疾病的家庭成员没有经济去支持治疗大多是遗弃或者常年拘禁在家。政府针对精神患者的社会保障体系没有建立完善的时候，不能令患者的生存条件改善的时候，就不该过度干预个人的生活和决定，好比没有免费教育的时候就不能强制九年义务教育，没有免费核酸的时候就不能强制核酸。我想这么多年了，若不是事件在网络上发酵，网民义愤填膺，政府也不会去惩罚董。在舆论压力下，网民的正义感得到了伸张，而当事人在精神病院的境地是否会比之前改善？其他类似家庭的境地是否会改善？ ,负向,0.182,0.818
美国陪审团制度是不是就是找12个法盲，让他们凭借朴素价值观判案？条文法的局限性在于，立法者无法穷尽世间的复杂性，只在绝大部分情况有效，必将损失掉小部分人的利益。靠司法解释无法及时弥补。比如最近的铁链女事件，是否应该判刑有复杂性，听起来应该狠判，有违正常人及“城里人”的常伦。但考虑目前对精神病患者的保障体系及特定历史时期贫富差距导致的较为普遍人口买卖情况，如果有陪审团制度是否应该判刑大概率另有变数。陪审团制度似乎可保护少部分人的权利。,负向,0.0009,0.9991
刚刚在小蓝鸟上被某网友关于铁链女的一本正经的发言恶心吐了之后，看到下面一幕更是气不打一处来。怎么，这个时空没有女跑者，只有雌性男跑者？！ ,负向,0.0002,0.9998
#专家称年轻人不生小孩是不对的#看到铁链女都让人后怕了，生个毛孩子？现在一想到就犯恶心。 ,负向,0.0001,0.9999
#铁链女#  建议可以看油管的朋友去看看王局最新一期关于铁链女小花梅的节目 自我反省中…… ,正向,0.9822,0.0178
话说我才知道老钟男比女多了7000万，老钟放出来的3000万我还真信了。 加上前几天的铁链女案，我刚平复不久的想润的想法又复燃了。 ,负向,0.0554,0.9446
八孩案“铁链女”丈夫 监九年遭议量刑太轻 | 联合早报网  Weibo ,负向,0.0622,0.9378
最近看了铁链女案件的判罚，全网基本是一边倒的吐槽判的轻了，如果按照刑法来说判的轻么？所有人都站在自己身处安逸环境的角度去看待这件事情，有没有从铁链女的角度还有董的角度还有千千万万个得不到社会保障的人群角度考虑过他们的感受？铁链女只是从一个牢房转移到另一个“牢房”，董入狱，孩子们全部送到福利院。。。,负向,0.012,0.988
不能为了自己的道德正义感，而忽视了真正的贫穷疾苦。对于铁链女来说，作为精神病患者的她被拐卖前后境遇到底是变好了还是变差了？她如果没去董家还在街头流浪的话，现在还活着么，又会被骚扰多少次？公平、正义、人权这些不过是人类头脑想象出的虚幻概念，而吃饱、穿暖、安全这些才是实实在在作为人的基本需求。人类进化这条路，还好长呢,负向,0.0248,0.9752
